status_id,resident_id,status,updated_at
1,1,Transferred,"2025-05-02 22:32:12"
2,2,Deceased,"2025-05-02 22:32:12"
3,3,Deceased,"2025-05-02 22:32:12"
4,4,Active,"2025-05-02 22:32:12"
5,5,Deceased,"2025-05-02 22:32:12"
6,6,Transferred,"2025-05-02 22:32:12"
7,7,"Moved Out","2025-05-02 22:32:12"
8,8,Transferred,"2025-05-02 22:32:12"
9,9,Transferred,"2025-05-02 22:32:12"
10,10,Transferred,"2025-05-02 22:32:12"
11,11,Active,"2025-05-02 22:32:12"
12,12,Deceased,"2025-05-02 22:32:12"
13,13,"Moved Out","2025-05-02 22:32:12"
14,14,Transferred,"2025-05-02 22:32:12"
15,15,Transferred,"2025-05-02 22:32:12"
16,16,"Moved Out","2025-05-02 22:32:12"
17,17,Active,"2025-05-02 22:32:12"
18,18,Active,"2025-05-02 22:32:12"
19,19,"Moved Out","2025-05-02 22:32:12"
20,20,Active,"2025-05-02 22:32:12"
21,21,Active,"2025-05-02 22:32:12"
22,22,Deceased,"2025-05-02 22:32:12"
23,23,Deceased,"2025-05-02 22:32:12"
24,24,"Moved Out","2025-05-02 22:32:12"
25,25,Deceased,"2025-05-02 22:32:12"
26,26,Active,"2025-05-02 22:32:12"
27,27,Active,"2025-05-02 22:32:12"
28,28,Transferred,"2025-05-02 22:32:12"
29,29,Active,"2025-05-02 22:32:12"
30,30,Active,"2025-05-02 22:32:12"
31,31,Deceased,"2025-05-02 22:32:12"
32,32,Transferred,"2025-05-02 22:32:12"
33,33,Deceased,"2025-05-02 22:32:12"
34,34,Active,"2025-05-02 22:32:12"
35,35,Transferred,"2025-05-02 22:32:12"
36,36,"Moved Out","2025-05-02 22:32:12"
37,37,Active,"2025-05-02 22:32:13"
38,38,Active,"2025-05-02 22:32:13"
39,39,Transferred,"2025-05-02 22:32:13"
40,40,Active,"2025-05-02 22:32:13"
41,41,Transferred,"2025-05-02 22:32:13"
42,42,Active,"2025-05-02 22:32:13"
43,43,Active,"2025-05-02 22:32:13"
44,44,Transferred,"2025-05-02 22:32:13"
45,45,"Moved Out","2025-05-02 22:32:13"
